,Names,Prices/night,Reviews
0,Loft in New York,$187 ,4.76 (234)
1,Loft in New York,$79 ,4.62 (673)
2,Room in New York,$182 ,4.76 (59)
3,Hotel in New York,$130 ,4.65 (1064)
4,Apartment in New York,$176 ,4.87 (687)
5,Hotel in New York,$154 ,4.71 (960)
6,Boutique hotel in New York,$178 ,4.41 (1063)
7,Apartment in New York City,$70 ,4.69 (391)
8,Room in New York,$219 ,New
9,Boutique hotel in Brooklyn,$146 ,4.24 (41)
10,Place to stay in New York,$139 ,4.82 (11)
11,Apartment in New York,$540 ,5.0 (6)
12,Room in New York,$192 ,4.85 (72)
13,Room in New York,$199 ,4.39 (72)
14,Room in New York,$258 ,5.0 (14)
15,Room in Brooklyn,$116 ,4.5 (106)
16,Place to stay in Union City,$121 ,New
17,Apartment in Brooklyn,$89 ,New
18,Place to stay in New York City,$156 ,4.44 (9)
19,Apartment in Brooklyn,$165 ,New
20,Hotel in New York,$98 ,4.3 (575)
21,Shared room in Yonkers,$99 ,4.42 (26)
22,Place to stay in Brooklyn,$138 ,4.9 (97)
23,Apartment in New York,$122 ,4.95 (81)
24,Apartment in New York,$176 ,4.85 (142)
25,Apartment in New York,$281 ,4.88 (374)
26,Hotel in New York,$192 ,4.18 (33)
27,Apartment in New York,$161 ,4.95 (60)
28,Room in New York,$140 ,4.39 (72)
29,Apartment in New York,$118 ,New
30,Guest suite in 纽约市,$178 ,4.82 (279)
31,Place to stay in Brooklyn,$168 ,4.75 (24)
32,Apartment in New York,$44 ,4.21 (62)
33,Apartment in New York,$91 ,4.95 (206)
34,Shared room in New York,$127 ,4.79 (38)
35,Room in Brooklyn,$139 ,4.69 (67)
36,Boutique hotel in New York,$196 ,4.18 (57)
37,Room in Newark,$179 ,4.89 (208)
38,Condo in New York,$123 ,4.76 (519)
39,Boutique hotel in New York,$178 ,4.62 (77)
40,Place to stay in New York,$140 ,New
41,Place to stay in Jersey City,$258 ,4.94 (110)
42,Place to stay in Brooklyn,$250 ,New
43,Room in Brooklyn,$125 ,New
44,Apartment in New York,$53 ,4.9 (158)
45,Apartment in New York,$125 ,4.91 (242)
46,Apartment in New York,$45 ,4.87 (52)
47,Room in New York,$218 ,4.57 (90)
48,Apartment in New York,$37 ,4.88 (85)
49,Apartment in New York,$202 ,4.76 (58)
50,Place to stay in Brooklyn,$123 ,4.92 (383)
51,Room in New York,$76 ,4.98 (167)
52,Room in New York,$237 ,4.68 (178)
53,Apartment in Brooklyn,$108 ,4.89 (79)
54,Room in Union City,$152 ,4.32 (56)
55,Hotel in New York,$122 ,4.46 (13)
56,Room in Newark,$97 ,4.91 (105)
57,Room in Newark,$167 ,3.83 (6)
58,Apartment in Brooklyn,$109 ,4.89 (208)
59,Room in Newark,$155 ,4.36 (11)
60,Shared room in The Bronx,,4.43 (127)
61,Hotel room in New York,,New
62,Apartment in Brooklyn,,4.27 (188)
63,Hotel in New York,,4.65 (357)
64,Room in New York City,,4.9 (104)
65,Apartment in Staten Island,,4.84 (62)
66,Apartment in New York,,4.86 (406)
67,Room in Brooklyn,,4.68 (416)
68,Apartment in New York,,New
69,Apartment in The Bronx,,4.37 (19)
70,Shared room in The Bronx,,4.85 (298)
71,Room in New York,,4.43 (127)
72,Hotel room in New York,,4.94 (31)
73,Room in New York,,4.88 (287)
74,Apartment in New York,,4.65 (357)
75,Room in New York,,4.92 (49)
76,Condo in New York,,4.96 (129)
77,Place to stay in Brooklyn,,4.83 (179)
78,Apartment in Piermont,,4.92 (383)
79,Room in New York,,4.9 (41)
80,Room in Township of Washington,,4.25 (8)
81,Room in White Plains,,4.87 (180)
82,Room in Brooklyn,,New
83,Apartment in New York,,4.91 (105)
84,Room in Newark,,4.25 (4)
85,Apartment in New York,,4.92 (106)
86,Room in New York,,4.69 (139)
87,Apartment in New York,,4.74 (42)
88,Condo in New York,,4.71 (960)
89,Hotel in New York,,4.66 (441)
90,Boutique hotel in New York,,4.72 (106)
91,Room in New York City,,4.69 (191)
92,Room in New York City,,4.18 (57)
93,Boutique hotel in New York,,New
94,Apartment in Brooklyn,,4.75 (156)
95,Room in Brooklyn,,New
96,Apartment in New York,,4.88 (131)
97,Room in New York City,,New
98,Apartment in New York,,4.62 (77)
99,Place to stay in New York City,,4.46 (162)
100,Room in Brooklyn,,New
101,Apartment in Brooklyn,,4.62 (128)
102,Room in Bronx ,,4.95 (166)
103,Room in New York,,4.69 (391)
104,Apartment in New York City,,4.69 (13)
105,Room in New York,,4.78 (75)
106,Room in Brooklyn,,4.94 (49)
107,Room in Elizabeth,,4.92 (75)
108,Apartment in New York,,5.0 (3)
109,Room in Uniondale,,4.56 (188)
110,Room in New York,,4.93 (443)
111,Room in Brooklyn,,4.68 (31)
112,Room in Guttenberg,,4.92 (383)
113,Room in New York,,4.62 (77)
114,Place to stay in New York,,New
115,Place to stay in New York,,4.78 (722)
116,Home in New Brunswick,,4.87 (157)
117,Room in New York,,4.33 (3)
118,Guest suite in The Bronx,,4.93 (42)
119,Apartment in Brooklyn,,4.65 (357)
120,Room in New York,,4.9 (699)
121,Room in New Brunswick,,New
122,Home in Yonkers,,4.92 (91)
123,Guest suite in Cliffside Park,,4.89 (79)
124,Room in Union City,,4.63 (217)
125,Condo in New York,,4.76 (570)
126,Guest suite in Brooklyn,,5.0 (14)
127,Room in New York,,4.78 (482)
128,Room in New York,,4.83 (128)
129,Room in New York,,4.7 (198)
130,Room in New York,,4.82 (17)
131,Hotel in New York,,4.86 (7)
132,Apartment in New York,,4.62 (95)
133,Shared room in The Bronx,,4.89 (54)
134,Room in Elizabeth,,5.0 (4)
135,Room in New York,,4.89 (144)
136,Apartment in New York,,4.91 (247)
137,Room in New York,,4.58 (351)
138,Guest suite in Brooklyn,,4.67 (359)
139,Place to stay in New York,,4.85 (435)
140,Shared room in New York,,New
141,Room in New York,,4.24 (41)
142,Room in New York,,4.93 (72)
143,Boutique hotel in Brooklyn,,4.81 (67)
144,Room in Brooklyn,,4.31 (32)
145,Room in New York,,4.76 (450)
146,Hotel in New York,,4.67 (299)
147,Apartment in New York,,4.94 (187)
148,Apartment in Brooklyn,,New
149,Guest suite in Palisades Park,,4.69 (67)
150,Hotel in Brooklyn,,4.85 (75)
151,Room in Brooklyn,,4.89 (61)
152,Room in New York,,5.0 (25)
153,Room in Mount Vernon,,4.87 (52)
154,Place to stay in New York City,,4.76 (570)
155,Room in New York,,4.21 (62)
156,Room in New York,,4.73 (150)
157,Apartment in New York,,4.95 (206)
158,Apartment in New York,,4.57 (90)
159,Apartment in New York,,4.8 (61)
160,Apartment in New York,,4.89 (364)
161,Apartment in New York,,4.9 (502)
162,Room in New York City,,4.95 (330)
163,Place to stay in Brooklyn,,4.83 (66)
164,Place to stay in Brooklyn,,4.86 (170)
165,Room in Brooklyn,,4.86 (28)
166,Room in Brooklyn,,4.77 (26)
167,Room in Brooklyn,,New
168,Room in New York City,,4.7 (43)
169,Place to stay in Jersey City,,4.83 (29)
170,Room in New York,,4.88 (374)
171,Room in Brooklyn,,4.55 (161)
172,Apartment in New York,,4.95 (20)
173,Place to stay in Brooklyn,,New
174,Room in New York,,4.37 (19)
175,Place to stay in Paterson,,5.0 (13)
176,Shared room in The Bronx,,4.89 (113)
177,Shared room in The Bronx,,4.9 (58)
178,Apartment in New York,,4.93 (45)
179,Room in New York City,,4.91 (247)
180,Room in Jersey City,,4.84 (32)
181,Guest suite in Greenwich,,4.81 (108)
182,Guest suite in Brooklyn,,4.93 (166)
183,Room in White Plains,,4.11 (19)
184,Room in Elizabeth,,4.94 (110)
185,Room in New York,,4.55 (11)
186,Shared room in The Bronx,,4.7 (10)
187,Place to stay in Brooklyn,,New
188,Hotel in New York,,4.98 (570)
189,Room in The Bronx,,5.0 (21)
190,Place to stay in Springfield,,New
191,Apartment in Montclair,,4.63 (60)
192,Room in New York,,4.9 (42)
193,Apartment in New York,,4.93 (72)
194,Room in Uniondale,,4.81 (67)
195,Guesthouse in Greenwich,,New
196,Room in Brooklyn,,4.55 (104)
197,Room in New York,,4.52 (544)
198,Apartment in New York,,4.7 (46)
199,Room in New York,,4.7 (125)
200,Room in Brooklyn,,5.0 (3)
201,Room in Brooklyn,,4.84 (64)
202,Room in New York City,,4.65 (79)
203,Apartment in New York,,5.0 (3)
204,Room in New York,,4.56 (380)
205,Room in New York,,4.91 (199)
206,Apartment in New York,,4.85 (257)
207,Room in New York,,5.0 (5)
208,Room in Brooklyn,,4.86 (28)
209,Room in New York,,4.74 (42)
210,Apartment in New York City,,New
211,Room in Brooklyn,,4.0 (16)
212,Condo in New York,,4.83 (29)
213,Home in Jersey City,,New
214,Shared room in The Bronx,,4.9 (62)
215,Room in Brooklyn,,4.91 (45)
216,Place to stay in Springfield,,4.74 (118)
217,Room in Dumont,,4.75 (8)
218,Room in Brooklyn,,4.88 (34)
219,Place to stay in Brooklyn,,4.4 (275)
220,Room in New York,,4.96 (98)
221,Room in New York,,4.9 (83)
222,Townhouse in Brooklyn ,,4.62 (128)
223,Room in Elmsford,,4.7 (198)
224,Loft in Weehawken,,4.93 (148)
225,Room in Bronx ,,4.89 (19)
226,Boutique hotel in New York,,New
227,Loft in Brooklyn,,4.85 (435)
228,Apartment in New York,,4.97 (76)
229,Room in Edison,,4.94 (93)
230,Room in New York,,4.62 (257)
231,Room in Jersey City,,
232,Room in New York,,
233,Room in New York,,
